,Rank,Performance,Alternative
0,6,14.0,$A_{1}$
1,6,15.0,$A_{1}$
2,5,16.0,$A_{1}$
3,5,17.0,$A_{1}$
4,4,18.0,$A_{1}$
5,4,19.0,$A_{1}$
6,4,20.0,$A_{1}$
7,4,21.0,$A_{1}$
8,4,22.0,$A_{1}$
9,4,23.0,$A_{1}$
10,3,24.0,$A_{1}$
11,3,25.0,$A_{1}$
12,3,26.0,$A_{1}$
13,3,27.0,$A_{1}$
14,2,28.0,$A_{1}$
15,2,29.0,$A_{1}$
16,2,30.0,$A_{1}$
17,2,31.0,$A_{1}$
18,2,32.0,$A_{1}$
19,1,33.0,$A_{1}$
20,1,34.0,$A_{1}$
21,1,35.0,$A_{1}$
22,1,36.0,$A_{1}$
23,1,37.0,$A_{1}$
24,1,38.0,$A_{1}$
25,1,39.0,$A_{1}$
26,1,40.0,$A_{1}$
27,1,41.0,$A_{1}$
28,1,42.0,$A_{1}$
29,1,43.0,$A_{1}$
30,1,44.0,$A_{1}$
31,1,45.0,$A_{1}$
32,6,14.0,$A_{2}$
33,6,15.0,$A_{2}$
34,5,16.0,$A_{2}$
35,5,17.0,$A_{2}$
36,5,18.0,$A_{2}$
37,5,19.0,$A_{2}$
38,5,20.0,$A_{2}$
39,4,21.0,$A_{2}$
40,4,22.0,$A_{2}$
41,4,23.0,$A_{2}$
42,4,24.0,$A_{2}$
43,4,25.0,$A_{2}$
44,4,26.0,$A_{2}$
45,4,27.0,$A_{2}$
46,4,28.0,$A_{2}$
47,4,29.0,$A_{2}$
48,4,30.0,$A_{2}$
49,4,31.0,$A_{2}$
50,4,32.0,$A_{2}$
51,4,33.0,$A_{2}$
52,4,34.0,$A_{2}$
53,3,35.0,$A_{2}$
54,3,36.0,$A_{2}$
55,3,37.0,$A_{2}$
56,3,38.0,$A_{2}$
57,3,39.0,$A_{2}$
58,3,40.0,$A_{2}$
59,3,41.0,$A_{2}$
60,2,42.0,$A_{2}$
61,2,43.0,$A_{2}$
62,2,44.0,$A_{2}$
63,2,45.0,$A_{2}$
64,3,14.0,$A_{3}$
65,3,15.0,$A_{3}$
66,3,16.0,$A_{3}$
67,2,17.0,$A_{3}$
68,2,18.0,$A_{3}$
69,2,19.0,$A_{3}$
70,2,20.0,$A_{3}$
71,2,21.0,$A_{3}$
72,2,22.0,$A_{3}$
73,2,23.0,$A_{3}$
74,2,24.0,$A_{3}$
75,2,25.0,$A_{3}$
76,2,26.0,$A_{3}$
77,2,27.0,$A_{3}$
78,2,28.0,$A_{3}$
79,2,29.0,$A_{3}$
80,1,30.0,$A_{3}$
81,1,31.0,$A_{3}$
82,1,32.0,$A_{3}$
83,1,33.0,$A_{3}$
84,1,34.0,$A_{3}$
85,1,35.0,$A_{3}$
86,1,36.0,$A_{3}$
87,1,37.0,$A_{3}$
88,1,38.0,$A_{3}$
89,1,39.0,$A_{3}$
90,1,40.0,$A_{3}$
91,1,41.0,$A_{3}$
92,1,42.0,$A_{3}$
93,1,43.0,$A_{3}$
94,1,44.0,$A_{3}$
95,1,45.0,$A_{3}$
96,6,14.0,$A_{4}$
97,6,15.0,$A_{4}$
98,6,16.0,$A_{4}$
99,6,17.0,$A_{4}$
100,5,18.0,$A_{4}$
101,5,19.0,$A_{4}$
102,5,20.0,$A_{4}$
103,5,21.0,$A_{4}$
104,4,22.0,$A_{4}$
105,4,23.0,$A_{4}$
106,4,24.0,$A_{4}$
107,4,25.0,$A_{4}$
108,4,26.0,$A_{4}$
109,4,27.0,$A_{4}$
110,4,28.0,$A_{4}$
111,3,29.0,$A_{4}$
112,3,30.0,$A_{4}$
113,3,31.0,$A_{4}$
114,3,32.0,$A_{4}$
115,2,33.0,$A_{4}$
116,2,34.0,$A_{4}$
117,2,35.0,$A_{4}$
118,2,36.0,$A_{4}$
119,2,37.0,$A_{4}$
120,1,38.0,$A_{4}$
121,1,39.0,$A_{4}$
122,1,40.0,$A_{4}$
123,1,41.0,$A_{4}$
124,1,42.0,$A_{4}$
125,1,43.0,$A_{4}$
126,1,44.0,$A_{4}$
127,1,45.0,$A_{4}$
128,5,14.0,$A_{5}$
129,5,15.0,$A_{5}$
130,5,16.0,$A_{5}$
131,5,17.0,$A_{5}$
132,5,18.0,$A_{5}$
133,5,19.0,$A_{5}$
134,4,20.0,$A_{5}$
135,4,21.0,$A_{5}$
136,4,22.0,$A_{5}$
137,4,23.0,$A_{5}$
138,4,24.0,$A_{5}$
139,4,25.0,$A_{5}$
140,4,26.0,$A_{5}$
141,3,27.0,$A_{5}$
142,3,28.0,$A_{5}$
143,3,29.0,$A_{5}$
144,3,30.0,$A_{5}$
145,2,31.0,$A_{5}$
146,2,32.0,$A_{5}$
147,2,33.0,$A_{5}$
148,2,34.0,$A_{5}$
149,2,35.0,$A_{5}$
150,1,36.0,$A_{5}$
151,1,37.0,$A_{5}$
152,1,38.0,$A_{5}$
153,1,39.0,$A_{5}$
154,1,40.0,$A_{5}$
155,1,41.0,$A_{5}$
156,1,42.0,$A_{5}$
157,1,43.0,$A_{5}$
158,1,44.0,$A_{5}$
159,1,45.0,$A_{5}$
160,4,14.0,$A_{6}$
161,4,15.0,$A_{6}$
162,4,16.0,$A_{6}$
163,3,17.0,$A_{6}$
164,3,18.0,$A_{6}$
165,3,19.0,$A_{6}$
166,3,20.0,$A_{6}$
167,3,21.0,$A_{6}$
168,3,22.0,$A_{6}$
169,3,23.0,$A_{6}$
170,3,24.0,$A_{6}$
171,3,25.0,$A_{6}$
172,3,26.0,$A_{6}$
173,3,27.0,$A_{6}$
174,3,28.0,$A_{6}$
175,3,29.0,$A_{6}$
176,3,30.0,$A_{6}$
177,3,31.0,$A_{6}$
178,3,32.0,$A_{6}$
179,3,33.0,$A_{6}$
180,3,34.0,$A_{6}$
181,3,35.0,$A_{6}$
182,2,36.0,$A_{6}$
183,2,37.0,$A_{6}$
184,2,38.0,$A_{6}$
185,2,39.0,$A_{6}$
186,2,40.0,$A_{6}$
187,2,41.0,$A_{6}$
188,2,42.0,$A_{6}$
189,2,43.0,$A_{6}$
190,2,44.0,$A_{6}$
191,2,45.0,$A_{6}$
