,Weight,Rank,Alternative
0,0.05,1,$A_{1}$
1,0.05,5,$A_{2}$
2,0.05,2,$A_{3}$
3,0.05,6,$A_{4}$
4,0.05,4,$A_{5}$
5,0.05,3,$A_{6}$
6,0.15,1,$A_{1}$
7,0.15,5,$A_{2}$
8,0.15,2,$A_{3}$
9,0.15,6,$A_{4}$
10,0.15,4,$A_{5}$
11,0.15,3,$A_{6}$
12,0.25,1,$A_{1}$
13,0.25,3,$A_{2}$
14,0.25,2,$A_{3}$
15,0.25,6,$A_{4}$
16,0.25,4,$A_{5}$
17,0.25,5,$A_{6}$
18,0.35,1,$A_{1}$
19,0.35,2,$A_{2}$
20,0.35,3,$A_{3}$
21,0.35,4,$A_{4}$
22,0.35,5,$A_{5}$
23,0.35,6,$A_{6}$
24,0.45,2,$A_{1}$
25,0.45,1,$A_{2}$
26,0.45,4,$A_{3}$
27,0.45,3,$A_{4}$
28,0.45,5,$A_{5}$
29,0.45,6,$A_{6}$
30,0.55,3,$A_{1}$
31,0.55,1,$A_{2}$
32,0.55,5,$A_{3}$
33,0.55,2,$A_{4}$
34,0.55,4,$A_{5}$
35,0.55,6,$A_{6}$
36,0.65,3,$A_{1}$
37,0.65,1,$A_{2}$
38,0.65,5,$A_{3}$
39,0.65,2,$A_{4}$
40,0.65,4,$A_{5}$
41,0.65,6,$A_{6}$
42,0.75,3,$A_{1}$
43,0.75,1,$A_{2}$
44,0.75,5,$A_{3}$
45,0.75,2,$A_{4}$
46,0.75,4,$A_{5}$
47,0.75,6,$A_{6}$
48,0.85,3,$A_{1}$
49,0.85,1,$A_{2}$
50,0.85,5,$A_{3}$
51,0.85,2,$A_{4}$
52,0.85,4,$A_{5}$
53,0.85,6,$A_{6}$
