,1,2,3,4,5,6,7,8,9,10,11,12
$A_{1}$,0.2361,0.2458,0.1879,0.1354,0.0507,0.0546,0.0227,0.048,0.0151,0.0037,0.0,0.0
$A_{2}$,0.2208,0.3555,0.2194,0.1165,0.0455,0.0345,0.0078,0.0,0.0,0.0,0.0,0.0
$A_{3}$,0.0001,0.0111,0.0229,0.0725,0.287,0.1485,0.1467,0.1366,0.1656,0.009,0.0,0.0
$A_{4}$,0.1136,0.067,0.0717,0.1356,0.1719,0.2304,0.0778,0.0375,0.0305,0.0322,0.0318,0.0
$A_{5}$,0.0003,0.0123,0.0129,0.0217,0.078,0.0999,0.2542,0.1427,0.1256,0.2322,0.0202,0.0
$A_{6}$,0.0,0.0007,0.007,0.0511,0.0251,0.0369,0.1353,0.1146,0.1594,0.1655,0.1277,0.1767
$A_{7}$,0.0,0.0,0.0011,0.0012,0.0062,0.0298,0.0306,0.0327,0.0822,0.0739,0.0924,0.6499
$A_{8}$,0.0,0.0011,0.0025,0.005,0.0626,0.0392,0.0569,0.1442,0.0743,0.121,0.4544,0.0388
$A_{9}$,0.3802,0.1025,0.2888,0.0389,0.0271,0.0282,0.0239,0.0177,0.068,0.0247,0.0,0.0
$A_{10}$,0.0106,0.0425,0.0703,0.0684,0.086,0.169,0.0987,0.0715,0.1419,0.1403,0.0911,0.0097
$A_{11}$,0.0,0.1083,0.0779,0.2967,0.0668,0.049,0.0606,0.0944,0.0243,0.0794,0.101,0.0416
$A_{12}$,0.0383,0.0532,0.0376,0.057,0.0931,0.08,0.0848,0.1601,0.1131,0.1181,0.0814,0.0833
