,$C_{1}$,$C_{2}$,$C_{3}$,$C_{4}$,$C_{5}$,$C_{6}$,$C_{7}$,$C_{8}$,$C_{9}$,$C_{10}$,$C_{11}$
$A_{1}$,0.08004380077684044,0.06591290065619997,0.16690523134575608,0.1263208322870497,0.12220564170453381,0.07743816419225649,0.07159634971711881,0.08023123821845944,0.056638997126554375,0.05439461031598036,0.09831223365925053
$A_{2}$,0.1171950304728913,0.08972372185770006,0.0762827700701533,0.12803851776176797,0.05626216285359029,0.08068131111542011,0.07895871876131728,0.08118136726672631,0.07143180459686643,0.11042425280293688,0.10982034244062992
$A_{3}$,0.0033359510428977836,0.023275197319350762,0.030770669130253954,0.10272943211136948,0.28300132571335346,0.04313474571991287,0.0024381814305720222,0.03646390864760884,0.007505256038142727,0.31185894062445085,0.15548639222208732
$A_{4}$,0.044720918667593416,0.08466951438572504,0.06550087435919902,0.05835025614454079,0.06624066554910514,0.08923652360357004,0.09051378932296979,0.0784414159566441,0.08013149913461591,0.2149065545826422,0.12728798829339447
$A_{5}$,0.054053814032311576,0.2770077226936406,0.06841913437859624,0.020684732416445632,0.04081035012621299,0.03597376520149918,0.0486250032072983,0.02573723181840448,0.09608421034814922,0.25523254248319605,0.0773714932942458
$A_{6}$,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
$A_{7}$,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
$A_{8}$,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
$A_{9}$,0.09610021672020685,0.11636083161294683,0.06674970054201847,0.06192476176632081,0.10500608168399597,0.10590538943434706,0.10064414993426152,0.1034417691010669,0.13080347193928732,0.05441637652006149,0.0586472507454867
$A_{10}$,0.052457243481313656,0.03217819332051471,0.039803319374100775,0.15040112623660848,0.03835325921681871,0.09973303038742808,0.11193161969551688,0.08192504921825605,0.0686719684985773,0.23064565552206626,0.09389953504879907
$A_{11}$,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
$A_{12}$,0.07569387761124985,0.03732527603542426,0.04425085507964977,0.04653410559597599,0.046289067330273,0.14360323065198,0.16146530366562217,0.1381306945906069,0.039331571122236834,0.15021842702358437,0.1171575912933969
