Alternatives,2013,2014,2015,2016,2017,2018,2019,2020,G,dir,dir_arrow,scores,ranks
AT,0.1135,0.0843,0.0699,0.0727,-0.0496,-0.0360,-0.0419,-0.0970,0.0737,-1.0000,$\downarrow$,-0.1707,29
BE,-0.0502,-0.0694,-0.1188,-0.0632,-0.0126,-0.0108,-0.0128,0.0297,0.0432,1.0000,$\uparrow$,0.0728,10
BG,0.2376,0.2675,0.2778,0.2760,0.2190,0.1889,0.1749,0.1490,0.0461,-1.0000,$\downarrow$,0.1030,9
HR,-0.0734,-0.0727,-0.1505,-0.1731,-0.1585,-0.1476,-0.1327,-0.1371,0.0353,-1.0000,$\downarrow$,-0.1723,30
CY,-0.1471,-0.1643,-0.1811,-0.1780,-0.1637,-0.1722,-0.1751,-0.1474,0.0123,-1.0000,$\downarrow$,-0.1597,28
CZ,0.0134,0.0211,0.0201,0.0155,0.0206,0.0116,0.0243,-0.0072,0.0093,-1.0000,$\downarrow$,-0.0164,13
DK,0.0122,-0.0136,-0.0281,-0.0023,-0.0154,-0.0332,-0.0449,-0.0053,0.0172,-1.0000,$\downarrow$,-0.0226,15
EE,-0.0779,-0.0470,-0.0700,-0.0937,-0.1193,-0.0555,0.0668,0.1361,0.0820,1.0000,$\uparrow$,0.2181,4
FI,0.0350,0.1146,0.1073,0.0118,0.1074,0.0941,0.1134,0.0765,0.0365,1.0000,$\uparrow$,0.1130,7
FR,0.0233,0.0040,0.0063,0.0253,0.0198,0.0254,0.0101,-0.0265,0.0163,-1.0000,$\downarrow$,-0.0428,19
DE,0.0156,-0.0030,-0.0125,0.0038,0.1098,0.1084,0.0884,0.0687,0.0485,1.0000,$\uparrow$,0.1172,6
EL,-0.1144,-0.1040,-0.1006,-0.0909,-0.0931,-0.1022,-0.0781,-0.0422,0.0208,1.0000,$\uparrow$,-0.0214,14
HU,-0.0338,0.0063,-0.0417,-0.0174,-0.0355,-0.0391,-0.0665,-0.0195,0.0199,1.0000,$\uparrow$,0.0004,12
IS,-0.0905,-0.0669,0.0400,0.1163,0.1284,0.1188,0.0715,0.1548,0.0863,1.0000,$\uparrow$,0.2411,3
IE,-0.0955,-0.0966,-0.1067,-0.0940,-0.0628,-0.0817,-0.0881,-0.1125,0.0143,-1.0000,$\downarrow$,-0.1268,24
IT,0.0650,0.0260,0.0282,0.0317,0.0391,0.0373,0.0218,0.0286,0.0126,-1.0000,$\downarrow$,0.0160,11
LV,0.0668,0.0880,0.0697,0.0286,-0.0220,-0.0274,-0.0700,-0.0536,0.0571,-1.0000,$\downarrow$,-0.1107,21
LT,0.1308,0.0838,0.0975,0.0178,-0.0114,-0.0503,-0.0719,-0.0581,0.0731,-1.0000,$\downarrow$,-0.1312,26
LU,-0.1347,-0.1225,-0.1125,-0.0807,0.0314,0.0408,0.0435,0.0670,0.0809,1.0000,$\uparrow$,0.1479,5
MT,-0.0425,-0.0528,-0.1263,-0.1339,-0.1268,-0.1205,-0.1358,-0.1114,0.0347,-1.0000,$\downarrow$,-0.1461,27
NL,-0.0607,-0.0300,0.0847,0.0274,0.0346,0.0586,0.0660,0.0605,0.0473,1.0000,$\uparrow$,0.1077,8
NO,-0.0736,-0.0403,0.0648,0.2033,0.2389,0.2804,0.3472,0.2686,0.1471,1.0000,$\uparrow$,0.4158,2
PL,0.0956,0.0617,0.0564,0.0314,0.0253,0.0224,0.0160,0.0020,0.0284,-1.0000,$\downarrow$,-0.0264,16
PT,0.0463,0.0183,0.0486,0.0439,-0.1121,-0.1074,-0.1205,-0.1300,0.0791,-1.0000,$\downarrow$,-0.2091,32
RO,0.0696,-0.0189,0.0267,0.0068,0.0052,-0.0071,0.0185,-0.0047,0.0256,-1.0000,$\downarrow$,-0.0303,18
RS,-0.0959,-0.0817,-0.0988,-0.1156,-0.1285,-0.1690,-0.1761,-0.1669,0.0348,-1.0000,$\downarrow$,-0.2017,31
SK,0.0044,0.0427,0.0536,-0.0048,-0.0369,-0.0550,-0.0658,-0.0736,0.0455,-1.0000,$\downarrow$,-0.1191,23
SI,-0.0925,-0.1215,-0.1512,-0.1639,-0.1436,-0.0984,-0.1148,-0.1029,0.0247,-1.0000,$\downarrow$,-0.1277,25
ES,-0.0730,-0.0787,-0.0871,-0.0789,-0.0699,-0.0516,-0.0735,-0.0587,0.0107,1.0000,$\uparrow$,-0.0480,20
SE,0.4592,0.4705,0.4528,0.4649,0.4375,0.4728,0.4561,0.4669,0.0107,1.0000,$\uparrow$,0.4777,1
UA,-0.0539,-0.0389,-0.0358,-0.0136,0.0148,-0.0251,0.0163,-0.0522,0.0257,1.0000,$\uparrow$,-0.0265,17
UK,-0.0788,-0.0660,-0.0825,-0.0733,-0.0701,-0.0695,-0.0662,-0.1017,0.0111,-1.0000,$\downarrow$,-0.1129,22
