Alternatives,dir,dir_arrow
AT,-1.0,$\downarrow$
BE,1.0,$\uparrow$
BG,-1.0,$\downarrow$
HR,-1.0,$\downarrow$
CY,-1.0,$\downarrow$
CZ,-1.0,$\downarrow$
DK,-1.0,$\downarrow$
EE,1.0,$\uparrow$
FI,1.0,$\uparrow$
FR,-1.0,$\downarrow$
DE,1.0,$\uparrow$
EL,1.0,$\uparrow$
HU,1.0,$\uparrow$
IS,1.0,$\uparrow$
IE,-1.0,$\downarrow$
IT,-1.0,$\downarrow$
LV,-1.0,$\downarrow$
LT,-1.0,$\downarrow$
LU,1.0,$\uparrow$
MT,-1.0,$\downarrow$
NL,1.0,$\uparrow$
NO,1.0,$\uparrow$
PL,-1.0,$\downarrow$
PT,-1.0,$\downarrow$
RO,-1.0,$\downarrow$
RS,-1.0,$\downarrow$
SK,-1.0,$\downarrow$
SI,-1.0,$\downarrow$
ES,1.0,$\uparrow$
SE,1.0,$\uparrow$
UA,1.0,$\uparrow$
UK,-1.0,$\downarrow$
